FUNCTION                                                                     CALLS        %        TIME  [uS / CALLS]
--------                                                                     -----  -------        ----  [----------]
'Elixir.Keyword':split/2                                                         3     0.00           1  [      0.33]
'Elixir.Keyword':take/2                                                          4     0.00           1  [      0.25]
'Elixir.Keyword':'-take/2-lists^filter/1-0-'/2                                   6     0.00           1  [      0.17]
'Elixir.Keyword':'-split/2-lists^foldl/2-0-'/3                                   7     0.00           1  [      0.14]
'Elixir.Keyword':'-split/2-fun-0-'/3                                             4     0.00           1  [      0.25]
maps:to_list/1                                                                   9     0.00           1  [      0.11]
'Elixir.Supervisor':start_child/2                                                9     0.00           1  [      0.11]
'Elixir.Flow.Coordinator':start_child/3                                          9     0.00           1  [      0.11]
'Elixir.Flow.Coordinator':'-init/1-fun-7-'/1                                     8     0.00           1  [      0.13]
'Elixir.Flow.Coordinator':'-init/1-fun-5-'/4                                     8     0.00           1  [      0.13]
'Elixir.Inspect.Algebra':'fits?'/4                                               2     0.00           1  [      0.50]
'Elixir.IO':puts/2                                                               2     0.00           1  [      0.50]
raw_file_io:'-open_1/3-fun-0-'/2                                                 4     0.00           1  [      0.25]
'Elixir.Stream':'-do_resource/5-fun-0-'/5                                        2     0.00           1  [      0.50]
logger_config:allow/3                                                            9     0.00           1  [      0.11]
file:close/1                                                                     1     0.00           1  [      1.00]
logger_backend:log_allowed/2                                                     9     0.00           1  [      0.11]
'Elixir.String.Tokenizer':continue/5                                             2     0.00           1  [      0.50]
'Elixir.String.Tokenizer':tokenize/1                                             1     0.00           1  [      1.00]
'Elixir.Flow.MapReducer':handle_cancel/3                                         8     0.00           1  [      0.13]
'Elixir.Scribe.Formatter.Line':'-top/1-fun-0-'/5                                 4     0.00           1  [      0.25]
'Elixir.Scribe':format/2                                                         1     0.00           1  [      1.00]
'Elixir.Scribe':'-process_headers/1-fun-0-'/2                                    4     0.00           1  [      0.25]
'Elixir.File':normalize_modes/2                                                  2     0.00           1  [      0.50]
'Elixir.Flow.Materialize':materialize/4                                          1     0.00           1  [      1.00]
'Elixir.Enum':sort/2                                                             1     0.00           1  [      1.00]
'Elixir.Enum':sort_by/2                                                          1     0.00           1  [      1.00]
'Elixir.Profile.Query':'-run/0-fun-0-'/0                                         1     0.00           1  [      1.00]
'Elixir.Database.Query':query/0                                                  1     0.00           1  [      1.00]
'Elixir.Scribe.Style.Default':default_color/0                                    1     0.00           1  [      1.00]
'Elixir.GenServer':call/3                                                       10     0.00           1  [      0.10]
'Elixir.GenServer':do_start/4                                                   10     0.00           1  [      0.10]
'Elixir.GenServer':start_link/3                                                  9     0.00           1  [      0.11]
logger:macro_log/4                                                               9     0.00           1  [      0.11]
proc_lib:start_link/5                                                           10     0.00           1  [      0.10]
proc_lib:init_ack/2                                                             11     0.00           1  [      0.09]
'Elixir.GenStage.Buffer':store_temporary/6                                       2     0.00           1  [      0.50]
'Elixir.GenStage.Streamer':'-init/1-fun-1-'/2                                    1     0.00           1  [      1.00]
lists:keymember/3                                                               34     0.00           1  [      0.03]
ets:lookup_element/3                                                             1     0.00           1  [      1.00]
erlang:group_leader/0                                                           11     0.00           1  [      0.09]
io:request/2                                                                     4     0.00           2  [      0.50]
gen:call/4                                                                      10     0.00           2  [      0.20]
gen:do_call/4                                                                   10     0.00           2  [      0.20]
gen:timeout/1                                                                   11     0.00           2  [      0.18]
'Elixir.GenStage':async_info/2                                                   9     0.00           2  [      0.22]
'Elixir.GenStage':put_pc_events/3                                                2     0.00           2  [      1.00]
'Elixir.GenStage':send_pc_events/3                                               2     0.00           2  [      1.00]
'Elixir.GenStage':'-handle_info/2-fun-2-'/3                                     16     0.00           2  [      0.13]
'Elixir.GenStage':'-handle_info/2-fun-0-'/2                                     16     0.00           2  [      0.13]
'Elixir.Scribe.Table':'-get_max_widths/3-fun-1-'/4                               4     0.00           2  [      0.50]
queue:is_empty/1                                                                16     0.00           2  [      0.13]
'Elixir.Keyword':merge/2                                                         9     0.00           2  [      0.22]
lists:map/2                                                                      9     0.00           2  [      0.22]
'Elixir.Flow.MapReducer':done_status/4                                           8     0.00           2  [      0.25]
'Elixir.Scribe.Formatter.Line':top/1                                             1     0.00           2  [      2.00]
'Elixir.Flow.Materialize':map_reducer_spec/2                                     8     0.00           2  [      0.25]
'Elixir.Flow.Materialize':'-start_stages/6-fun-1-'/4                             8     0.00           2  [      0.25]
'Elixir.Flow.Materialize':'-build_reducer/2-fun-1-'/5                            4     0.00           2  [      0.50]
'Elixir.Process':delete/1                                                        8     0.00           2  [      0.25]
'Elixir.Enum':to_list/1                                                          8     0.00           2  [      0.25]
'Elixir.Database.Query':generic_hashing_count/2                                  1     0.00           2  [      2.00]
erlang:spawn_opt/4                                                              11     0.00           2  [      0.18]
'Elixir.GenStage.Utils':validate_in/4                                           26     0.00           2  [      0.08]
supervisor:do_restart/3                                                          9     0.00           2  [      0.22]
supervisor:find_child_by_pid/2                                                   9     0.00           2  [      0.22]
supervisor:validId/1                                                             9     0.00           2  [      0.22]
supervisor:validFunc/1                                                           9     0.00           2  [      0.22]
supervisor:validRestartType/1                                                    9     0.00           2  [      0.22]
supervisor:validShutdown/1                                                       9     0.00           2  [      0.22]
supervisor:report_progress/2                                                     9     0.00           2  [      0.22]
supervisor:'-validMods/1-fun-0-'/1                                               9     0.00           2  [      0.22]
logger:get_process_metadata/0                                                    9     0.00           2  [      0.22]
